"법정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~9세","2026년06월_남_10~19세","2026년06월_남_20~29세","2026년06월_남_30~39세","2026년06월_남_40~49세","2026년06월_남_50~59세","2026년06월_남_60~69세","2026년06월_남_70~79세","2026년06월_남_80~89세","2026년06월_남_90~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~9세","2026년06월_여_10~19세","2026년06월_여_20~29세","2026년06월_여_30~39세","2026년06월_여_40~49세","2026년06월_여_50~59세","2026년06월_여_60~69세","2026년06월_여_70~79세","2026년06월_여_80~89세","2026년06월_여_90~99세","2026년06월_여_100세 이상"
"부산광역시   (2600000000)","3,232,370","3,232,370","165,292","266,032","330,103","388,502","455,808","523,555","551,101","375,719","153,802","21,978","478","1,570,097","1,570,097","84,626","135,999","168,075","200,912","230,885","257,103","259,023","168,273","59,742","5,399","60","1,662,273","1,662,273","80,666","130,033","162,028","187,590","224,923","266,452","292,078","207,446","94,060","16,579","418"
"부산광역시 중구  (2611000000)","36,306","36,306","595","1,519","4,610","3,991","3,796","5,826","7,202","5,782","2,622","353","10","17,580","17,580","327","728","2,144","2,216","2,046","3,075","3,457","2,506","989","91","1","18,726","18,726","268","791","2,466","1,775","1,750","2,751","3,745","3,276","1,633","262","9"
"부산광역시 중구 영주동 (2611010100)","10,117","10,117","197","480","1,058","988","1,077","1,757","1,974","1,706","790","88","2","4,978","4,978","110","225","564","572","586","907","960","737","291","25","1","5,139","5,139","87","255","494","416","491","850","1,014","969","499","63","1"
"부산광역시 중구 대창동1가 (2611010200)","492","492","9","15","63","96","53","75","75","71","33","2","0","229","229","4","10","27","49","26","34","28","40","11","0","0","263","263","5","5","36","47","27","41","47","31","22","2","0"
"부산광역시 중구 대창동2가 (2611010300)","46","46","1","1","8","6","6","3","11","8","2","0","0","27","27","0","0","4","4","4","3","7","4","1","0","0","19","19","1","1","4","2","2","0","4","4","1","0","0"
"부산광역시 중구 중앙동1가 (2611010400)","248","248","3","4","86","60","19","21","31","17","6","1","0","114","114","2","2","26","31","9","16","19","6","3","0","0","134","134","1","2","60","29","10","5","12","11","3","1","0"
"부산광역시 중구 중앙동2가 (2611010500)","417","417","3","8","133","120","52","33","36","18","10","4","0","197","197","2","6","47","60","25","21","22","12","1","1","0","220","220","1","2","86","60","27","12","14","6","9","3","0"
"부산광역시 중구 중앙동3가 (2611010600)","89","89","1","0","5","7","6","18","22","19","8","3","0","40","40","1","0","1","2","2","11","11","9","3","0","0","49","49","0","0","4","5","4","7","11","10","5","3","0"
"부산광역시 중구 중앙동4가 (2611010700)","1,249","1,249","11","19","335","328","119","161","133","103","34","6","0","603","603","5","6","128","171","63","84","72","58","13","3","0","646","646","6","13","207","157","56","77","61","45","21","3","0"
"부산광역시 중구 중앙동5가 (2611010800)","589","589","1","5","226","202","77","41","24","8","4","1","0","257","257","1","2","66","93","43","30","14","4","3","1","0","332","332","0","3","160","109","34","11","10","4","1","0","0"
"부산광역시 중구 중앙동6가 (2611010900)","47","47","0","0","3","0","3","11","15","12","3","0","0","25","25","0","0","3","0","2","5","9","5","1","0","0","22","22","0","0","0","0","1","6","6","7","2","0","0"
"부산광역시 중구 중앙동7가 (2611011000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시 중구 동광동1가 (2611011100)","122","122","6","9","10","10","11","13","18","29","14","2","0","55","55","2","4","6","6","6","8","6","10","6","1","0","67","67","4","5","4","4","5","5","12","19","8","1","0"
"부산광역시 중구 동광동2가 (2611011200)","65","65","1","4","3","5","12","12","12","10","6","0","0","37","37","1","3","2","4","8","7","7","3","2","0","0","28","28","0","1","1","1","4","5","5","7","4","0","0"
