"행정구역","2026년06월_총인구수","2026년06월_세대수","2026년06월_세대당 인구","2026년06월_남자 인구수","2026년06월_여자 인구수","2026년06월_남여 비율"
"부산광역시  (2600000000)","3,232,370","1,582,228","          2.04","1,570,097","1,662,273","          0.94"
"부산광역시 중구 (2611000000)","36,306","23,361","          1.55","17,580","18,726","          0.94"
"부산광역시 중구 중앙동(2611051000)","3,131","2,525","          1.24","1,465","1,666","          0.88"
"부산광역시 중구 동광동(2611052000)","2,252","1,538","          1.46","1,162","1,090","          1.07"
"부산광역시 중구 대청동(2611053000)","5,463","3,413","          1.60","2,602","2,861","          0.91"
"부산광역시 중구 보수동(2611054500)","9,750","6,038","          1.61","4,583","5,167","          0.89"
"부산광역시 중구 부평동(2611056000)","3,972","2,606","          1.52","1,913","2,059","          0.93"
"부산광역시 중구 광복동(2611057000)","837","518","          1.62","414","423","          0.98"
"부산광역시 중구 남포동(2611058000)","738","550","          1.34","436","302","          1.44"
"부산광역시 중구 영주제1동(2611059000)","4,185","2,847","          1.47","2,146","2,039","          1.05"
"부산광역시 중구 영주제2동(2611060000)","5,978","3,326","          1.80","2,859","3,119","          0.92"
"부산광역시 서구 (2614000000)","101,216","53,408","          1.90","48,407","52,809","          0.92"
"부산광역시 서구 동대신제1동(2614051000)","4,996","2,616","          1.91","2,405","2,591","          0.93"
"부산광역시 서구 동대신제2동(2614052000)","6,144","3,244","          1.89","2,937","3,207","          0.92"
"부산광역시 서구 동대신제3동(2614053000)","6,911","3,784","          1.83","3,188","3,723","          0.86"
"부산광역시 서구 서대신제1동(2614054000)","14,452","6,762","          2.14","6,789","7,663","          0.89"
"부산광역시 서구 서대신제3동(2614056000)","7,148","3,106","          2.30","3,295","3,853","          0.86"
"부산광역시 서구 서대신제4동(2614057000)","6,798","2,919","          2.33","3,259","3,539","          0.92"
"부산광역시 서구 부민동(2614059000)","7,272","4,226","          1.72","3,413","3,859","          0.88"
"부산광역시 서구 아미동(2614061500)","5,993","3,899","          1.54","2,938","3,055","          0.96"
"부산광역시 서구 초장동(2614063000)","3,444","2,236","          1.54","1,740","1,704","          1.02"
"부산광역시 서구 충무동(2614064000)","9,242","5,453","          1.69","4,431","4,811","          0.92"
"부산광역시 서구 남부민제1동(2614065000)","4,128","2,443","          1.69","2,037","2,091","          0.97"
"부산광역시 서구 남부민제2동(2614066000)","7,183","4,202","          1.71","3,529","3,654","          0.97"
"부산광역시 서구 암남동(2614068000)","17,505","8,518","          2.06","8,446","9,059","          0.93"
"부산광역시 동구 (2617000000)","83,354","46,378","          1.80","40,508","42,846","          0.95"
"부산광역시 동구 초량제1동(2617051000)","4,808","3,210","          1.50","2,435","2,373","          1.03"
"부산광역시 동구 초량제2동(2617052000)","4,877","3,115","          1.57","2,422","2,455","          0.99"
"부산광역시 동구 초량제3동(2617053000)","13,030","6,700","          1.94","6,218","6,812","          0.91"
"부산광역시 동구 초량제6동(2617055000)","4,802","2,762","          1.74","2,322","2,480","          0.94"
"부산광역시 동구 수정제1동(2617056000)","3,931","2,181","          1.80","1,937","1,994","          0.97"
"부산광역시 동구 수정제2동(2617057000)","8,546","4,702","          1.82","4,052","4,494","          0.90"
"부산광역시 동구 수정제4동(2617059000)","3,177","1,928","          1.65","1,559","1,618","          0.96"
"부산광역시 동구 수정제5동(2617060000)","4,384","2,487","          1.76","2,095","2,289","          0.92"
"부산광역시 동구 좌천동(2617064500)","10,589","5,618","          1.88","5,066","5,523","          0.92"
"부산광역시 동구 범일제1동(2617065000)","10,128","5,902","          1.72","4,904","5,224","          0.94"
"부산광역시 동구 범일제2동(2617066000)","6,114","3,627","          1.69","3,076","3,038","          1.01"
"부산광역시 동구 범일제5동(2617068000)","8,968","4,146","          2.16","4,422","4,546","          0.97"
"부산광역시 영도구 (2620000000)","100,570","53,232","          1.89","49,340","51,230","          0.96"
"부산광역시 영도구 남항동(2620053000)","9,758","5,506","          1.77","4,857","4,901","          0.99"
"부산광역시 영도구 영선제1동(2620054000)","3,514","1,782","          1.97","1,663","1,851","          0.90"
"부산광역시 영도구 영선제2동(2620055000)","6,924","3,401","          2.04","3,348","3,576","          0.94"
"부산광역시 영도구 신선동(2620058500)","6,374","3,835","          1.66","3,136","3,238","          0.97"
"부산광역시 영도구 봉래제1동(2620059000)","6,353","3,429","          1.85","3,122","3,231","          0.97"
"부산광역시 영도구 봉래제2동(2620060500)","6,892","3,372","          2.04","3,352","3,540","          0.95"
"부산광역시 영도구 청학제1동(2620063000)","5,023","2,618","          1.92","2,464","2,559","          0.96"
"부산광역시 영도구 청학제2동(2620064000)","15,458","7,498","          2.06","7,550","7,908","          0.95"
"부산광역시 영도구 동삼제1동(2620065000)","26,931","13,692","          1.97","13,075","13,856","          0.94"
"부산광역시 영도구 동삼제2동(2620066000)","5,272","2,889","          1.82","2,843","2,429","          1.17"
"부산광역시 영도구 동삼제3동(2620067000)","8,071","5,210","          1.55","3,930","4,141","          0.95"
"부산광역시 부산진구 (2623000000)","364,912","189,725","          1.92","174,246","190,666","          0.91"
"부산광역시 부산진구 부전제1동(2623051000)","13,940","9,934","          1.40","6,881","7,059","          0.97"
"부산광역시 부산진구 부전제2동(2623052000)","12,431","7,699","          1.61","6,125","6,306","          0.97"
"부산광역시 부산진구 연지동(2623054000)","25,245","10,833","          2.33","12,014","13,231","          0.91"
"부산광역시 부산진구 초읍동(2623055000)","21,395","10,321","          2.07","10,307","11,088","          0.93"
"부산광역시 부산진구 양정제1동(2623056000)","18,775","9,566","          1.96","8,660","10,115","          0.86"
"부산광역시 부산진구 양정제2동(2623057000)","20,981","11,796","          1.78","9,795","11,186","          0.88"
"부산광역시 부산진구 전포제1동(2623060000)","20,377","12,049","          1.69","9,756","10,621","          0.92"
"부산광역시 부산진구 전포제2동(2623061000)","22,867","12,986","          1.76","10,675","12,192","          0.88"
"부산광역시 부산진구 부암제1동(2623064000)","23,914","11,103","          2.15","11,496","12,418","          0.93"
"부산광역시 부산진구 부암제3동(2623066000)","23,703","9,918","          2.39","11,520","12,183","          0.95"
"부산광역시 부산진구 당감제1동(2623067000)","19,923","9,830","          2.03","9,368","10,555","          0.89"
"부산광역시 부산진구 당감제2동(2623068000)","11,442","5,324","          2.15","5,407","6,035","          0.90"
"부산광역시 부산진구 당감제4동(2623070000)","9,692","4,872","          1.99","4,639","5,053","          0.92"
"부산광역시 부산진구 가야제1동(2623071000)","15,854","9,142","          1.73","7,998","7,856","          1.02"
"부산광역시 부산진구 가야제2동(2623072000)","17,548","8,120","          2.16","8,396","9,152","          0.92"
"부산광역시 부산진구 개금제1동(2623074000)","18,204","10,111","          1.80","8,819","9,385","          0.94"
"부산광역시 부산진구 개금제2동(2623075000)","9,496","4,765","          1.99","4,503","4,993","          0.90"
"부산광역시 부산진구 개금제3동(2623076000)","25,297","12,034","          2.10","12,000","13,297","          0.90"
"부산광역시 부산진구 범천제1동(2623077000)","12,349","7,875","          1.57","5,667","6,682","          0.85"
"부산광역시 부산진구 범천제2동(2623078000)","21,479","11,447","          1.88","10,220","11,259","          0.91"
"부산광역시 동래구 (2626000000)","271,097","122,524","          2.21","130,313","140,784","          0.93"
"부산광역시 동래구 수민동(2626051000)","28,854","12,999","          2.22","13,857","14,997","          0.92"
"부산광역시 동래구 복산동(2626052000)","7,753","4,017","          1.93","3,750","4,003","          0.94"
"부산광역시 동래구 명륜동(2626054500)","24,963","9,589","          2.60","12,275","12,688","          0.97"
"부산광역시 동래구 온천제1동(2626055000)","34,011","17,212","          1.98","15,964","18,047","          0.88"
"부산광역시 동래구 온천제2동(2626056000)","23,798","9,631","          2.47","11,357","12,441","          0.91"
"부산광역시 동래구 온천제3동(2626057000)","35,440","17,423","          2.03","17,096","18,344","          0.93"
"부산광역시 동래구 사직제1동(2626058000)","11,661","5,277","          2.21","5,570","6,091","          0.91"
"부산광역시 동래구 사직제2동(2626059000)","24,211","8,766","          2.76","11,508","12,703","          0.91"
"부산광역시 동래구 사직제3동(2626060000)","16,383","7,579","          2.16","8,121","8,262","          0.98"
"부산광역시 동래구 안락제1동(2626074000)","12,866","6,599","          1.95","6,259","6,607","          0.95"
"부산광역시 동래구 안락제2동(2626075000)","25,217","10,994","          2.29","12,113","13,104","          0.92"
"부산광역시 동래구 명장제1동(2626076100)","12,869","6,072","          2.12","6,184","6,685","          0.93"
"부산광역시 동래구 명장제2동(2626076200)","13,071","6,366","          2.05","6,259","6,812","          0.92"
"부산광역시 남구 (2629000000)","254,413","121,732","          2.09","123,416","130,997","          0.94"
"부산광역시 남구 대연제1동(2629051000)","15,079","9,578","          1.57","7,593","7,486","          1.01"
"부산광역시 남구 대연제3동(2629053000)","36,566","18,809","          1.94","17,816","18,750","          0.95"
"부산광역시 남구 대연제4동(2629054000)","13,505","6,231","          2.17","6,517","6,988","          0.93"
"부산광역시 남구 대연제5동(2629055000)","15,760","8,271","          1.91","7,526","8,234","          0.91"
"부산광역시 남구 대연제6동(2629056000)","15,611","6,267","          2.49","7,469","8,142","          0.92"
"부산광역시 남구 용호제1동(2629057000)","41,658","17,222","          2.42","19,882","21,776","          0.91"
"부산광역시 남구 용호제2동(2629058000)","18,896","7,972","          2.37","9,029","9,867","          0.92"
"부산광역시 남구 용호제3동(2629059000)","9,874","5,008","          1.97","4,690","5,184","          0.90"
"부산광역시 남구 용호제4동(2629060000)","7,436","3,700","          2.01","3,560","3,876","          0.92"
"부산광역시 남구 용당동(2629061000)","7,465","3,454","          2.16","3,798","3,667","          1.04"
"부산광역시 남구 감만제1동(2629062000)","7,388","3,453","          2.14","3,780","3,608","          1.05"
"부산광역시 남구 감만제2동(2629063000)","5,959","3,184","          1.87","2,910","3,049","          0.95"
"부산광역시 남구 우암동(2629064500)","17,030","7,950","          2.14","8,308","8,722","          0.95"
"부산광역시 남구 문현제1동(2629068000)","10,103","4,603","          2.19","4,879","5,224","          0.93"
"부산광역시 남구 문현제2동(2629069000)","8,031","4,930","          1.63","3,963","4,068","          0.97"
"부산광역시 남구 문현제3동(2629070000)","15,745","6,945","          2.27","7,657","8,088","          0.95"
"부산광역시 남구 문현제4동(2629071000)","8,307","4,155","          2.00","4,039","4,268","          0.95"
"부산광역시 북구 (2632000000)","260,736","122,201","          2.13","127,667","133,069","          0.96"
"부산광역시 북구 구포제1동(2632051000)","14,449","7,870","          1.84","7,236","7,213","          1.00"
"부산광역시 북구 구포제2동(2632052000)","22,301","11,272","          1.98","11,384","10,917","          1.04"
"부산광역시 북구 구포제3동(2632052100)","16,616","8,699","          1.91","8,551","8,065","          1.06"
"부산광역시 북구 금곡동(2632053000)","33,498","17,430","          1.92","16,021","17,477","          0.92"
"부산광역시 북구 화명제1동(2632054100)","38,534","14,327","          2.69","18,782","19,752","          0.95"
"부산광역시 북구 화명제2동(2632054200)","16,460","7,263","          2.27","7,969","8,491","          0.94"
"부산광역시 북구 화명제3동(2632054300)","27,550","10,836","          2.54","13,364","14,186","          0.94"
"부산광역시 북구 덕천제1동(2632055000)","13,884","7,631","          1.82","6,796","7,088","          0.96"
"부산광역시 북구 덕천제2동(2632056000)","10,523","6,386","          1.65","5,270","5,253","          1.00"
"부산광역시 북구 덕천제3동(2632056100)","9,206","5,246","          1.75","4,503","4,703","          0.96"
"부산광역시 북구 만덕제1동(2632057100)","15,729","6,978","          2.25","7,605","8,124","          0.94"
"부산광역시 북구 만덕제2동(2632057200)","25,260","11,002","          2.30","12,215","13,045","          0.94"
"부산광역시 북구 만덕제3동(2632057300)","16,726","7,261","          2.30","7,971","8,755","          0.91"
"부산광역시 해운대구 (2635000000)","370,739","170,203","          2.18","177,281","193,458","          0.92"
"부산광역시 해운대구 우제1동(2635051000)","23,816","11,615","          2.05","11,338","12,478","          0.91"
"부산광역시 해운대구 우제2동(2635052000)","29,591","11,949","          2.48","13,989","15,602","          0.90"
"부산광역시 해운대구 우제3동(2635052500)","27,952","11,028","          2.53","13,156","14,796","          0.89"
"부산광역시 해운대구 중제1동(2635053000)","27,320","12,606","          2.17","13,019","14,301","          0.91"
"부산광역시 해운대구 중제2동(2635054000)","15,240","7,403","          2.06","7,259","7,981","          0.91"
"부산광역시 해운대구 좌제1동(2635055100)","16,905","7,795","          2.17","7,884","9,021","          0.87"
"부산광역시 해운대구 좌제2동(2635055200)","29,819","14,268","          2.09","13,736","16,083","          0.85"
"부산광역시 해운대구 좌제3동(2635055300)","14,816","6,369","          2.33","6,849","7,967","          0.86"
"부산광역시 해운대구 좌제4동(2635055400)","21,498","8,585","          2.50","10,151","11,347","          0.89"
"부산광역시 해운대구 송정동(2635056000)","8,970","4,942","          1.82","4,296","4,674","          0.92"
"부산광역시 해운대구 반여제1동(2635057000)","34,765","13,963","          2.49","17,013","17,752","          0.96"
"부산광역시 해운대구 반여제2동(2635058000)","10,743","6,292","          1.71","5,229","5,514","          0.95"
"부산광역시 해운대구 반여제3동(2635059000)","6,975","4,184","          1.67","3,366","3,609","          0.93"
"부산광역시 해운대구 반여제4동(2635059500)","14,192","5,704","          2.49","6,920","7,272","          0.95"
"부산광역시 해운대구 반송제1동(2635061000)","11,209","7,018","          1.60","5,592","5,617","          1.00"
"부산광역시 해운대구 반송제2동(2635062000)","19,723","11,156","          1.77","9,553","10,170","          0.94"
"부산광역시 해운대구 재송제1동(2635065000)","35,899","14,596","          2.46","17,662","18,237","          0.97"
"부산광역시 해운대구 재송제2동(2635066000)","21,306","10,730","          1.99","10,269","11,037","          0.93"
"부산광역시 사하구 (2638000000)","282,159","139,149","          2.03","139,724","142,435","          0.98"
"부산광역시 사하구 괴정제1동(2638051000)","16,271","7,911","          2.06","7,678","8,593","          0.89"
"부산광역시 사하구 괴정제2동(2638052000)","14,253","6,802","          2.10","6,906","7,347","          0.94"
"부산광역시 사하구 괴정제3동(2638053000)","11,127","6,232","          1.79","5,272","5,855","          0.90"
"부산광역시 사하구 괴정제4동(2638054000)","11,720","5,047","          2.32","5,730","5,990","          0.96"
"부산광역시 사하구 당리동(2638055000)","23,000","10,823","          2.13","11,121","11,879","          0.94"
"부산광역시 사하구 하단제1동(2638056100)","20,536","11,009","          1.87","10,263","10,273","          1.00"
"부산광역시 사하구 하단제2동(2638056200)","25,264","14,366","          1.76","12,892","12,372","          1.04"
"부산광역시 사하구 신평제1동(2638057100)","14,650","7,634","          1.92","7,479","7,171","          1.04"
"부산광역시 사하구 신평제2동(2638057200)","16,502","7,503","          2.20","8,192","8,310","          0.99"
"부산광역시 사하구 장림제1동(2638058000)","13,340","6,229","          2.14","6,882","6,458","          1.07"
"부산광역시 사하구 장림제2동(2638059000)","24,368","11,566","          2.11","12,237","12,131","          1.01"
"부산광역시 사하구 다대제1동(2638060100)","34,306","16,439","          2.09","17,023","17,283","          0.98"
"부산광역시 사하구 다대제2동(2638060200)","24,320","11,835","          2.05","11,879","12,441","          0.95"
"부산광역시 사하구 구평동(2638061000)","12,070","5,142","          2.35","6,139","5,931","          1.04"
"부산광역시 사하구 감천제1동(2638062000)","15,684","7,636","          2.05","7,633","8,051","          0.95"
"부산광역시 사하구 감천제2동(2638063000)","4,748","2,975","          1.60","2,398","2,350","          1.02"
"부산광역시 금정구 (2641000000)","205,672","105,381","          1.95","99,854","105,818","          0.94"
"부산광역시 금정구 서제1동(2641051000)","3,881","2,499","          1.55","2,041","1,840","          1.11"
"부산광역시 금정구 서제2동(2641052000)","7,525","4,281","          1.76","3,768","3,757","          1.00"
"부산광역시 금정구 서제3동(2641053000)","9,533","5,468","          1.74","4,717","4,816","          0.98"
"부산광역시 금정구 금사회동동(2641055500)","6,573","3,845","          1.71","3,406","3,167","          1.08"
"부산광역시 금정구 부곡제1동(2641057000)","6,846","4,055","          1.69","3,258","3,588","          0.91"
"부산광역시 금정구 부곡제2동(2641058000)","16,454","7,865","          2.09","7,733","8,721","          0.89"
"부산광역시 금정구 부곡제3동(2641059000)","14,308","6,809","          2.10","6,743","7,565","          0.89"
"부산광역시 금정구 부곡제4동(2641059100)","10,973","5,749","          1.91","5,179","5,794","          0.89"
"부산광역시 금정구 장전제1동(2641060000)","18,227","12,082","          1.51","9,609","8,618","          1.11"
"부산광역시 금정구 장전제2동(2641061000)","26,199","11,980","          2.19","12,563","13,636","          0.92"
"부산광역시 금정구 선두구동(2641063500)","1,922","1,104","          1.74","1,013","909","          1.11"
